Date/Time,Time Interval (Seconds),0A0,0A1,0A2,0A3
2018-06-07 16:33:17:806624,0.0,17061,1720,11242,10222
2018-06-07 16:33:17:907893,0.1007,9678,29841,13888,18122
2018-06-07 16:33:18:008033,0.2009,15429,2956,2622,29393
2018-06-07 16:33:18:108031,0.3009,32521,6175,24260,30434
2018-06-07 16:33:18:208537,0.4014,25993,5491,26897,14357
2018-06-07 16:33:18:308694,0.5016,15144,11195,18249,8426
2018-06-07 16:33:18:409284,0.6022,26307,17370,8610,31302
2018-06-07 16:33:18:508806,0.7017,26611,5598,30463,14270
2018-06-07 16:33:18:608066,0.8009,31963,24155,5903,7435
2018-06-07 16:33:18:708046,0.9009,26088,3216,11985,11036
2018-06-07 16:33:18:808155,1.001,27248,22741,6235,30555
2018-06-07 16:33:18:908542,1.1012,10153,32688,6655,319
2018-06-07 16:33:19:008334,1.2012,8259,24258,31530,32668
2018-06-07 16:33:19:108014,1.3009,4629,18456,32549,16987
2018-06-07 16:33:19:208287,1.4011,29405,3246,22663,10436
2018-06-07 16:33:19:308219,1.5012,31328,21969,5333,20014
2018-06-07 16:33:19:408485,1.6013,30520,11182,20173,9688
2018-06-07 16:33:19:508782,1.7015,2598,7990,15945,16522
2018-06-07 16:33:19:608246,1.801,13228,21994,22972,15189
2018-06-07 16:33:19:708512,1.9014,18645,5762,18970,14409
2018-06-07 16:33:19:809012,2.0019,10806,27332,9767,2034
2018-06-07 16:33:19:908221,2.1009,30732,11895,7459,3563
2018-06-07 16:33:20:008279,2.201,31990,31735,9831,18797
2018-06-07 16:33:20:108547,2.3014,21396,3743,10032,7627
